Source	Revision	Code	Name
mca	199912	110000	北京市
mca	199912	110101	东城区
mca	199912	110102	西城区
mca	199912	110103	崇文区
mca	199912	110104	宣武区
mca	199912	110105	朝阳区
mca	199912	110106	丰台区
mca	199912	110107	石景山区
mca	199912	110108	海淀区
mca	199912	110109	门头沟区
mca	199912	110111	房山区
mca	199912	110112	通州区
mca	199912	110113	顺义区
mca	199912	110114	昌平区
mca	199912	110224	大兴县
mca	199912	110226	平谷县
mca	199912	110227	怀柔县
mca	199912	110228	密云县
mca	199912	110229	延庆县
mca	199912	120000	天津市
mca	199912	120101	和平区
mca	199912	120102	河东区
mca	199912	120103	河西区
mca	199912	120104	南开区
mca	199912	120105	河北区
mca	199912	120106	红桥区
mca	199912	120107	塘沽区
mca	199912	120108	汉沽区
mca	199912	120109	大港区
mca	199912	120110	东丽区
mca	199912	120111	西青区
mca	199912	120112	津南区
mca	199912	120113	北辰区
mca	199912	120221	宁河县
mca	199912	120222	武清县
mca	199912	120223	静海县
mca	199912	120224	宝坻县
mca	199912	120225	蓟县
mca	199912	130000	河北省
mca	199912	130100	石家庄市
mca	199912	130102	长安区
mca	199912	130103	桥东区
mca	199912	130104	桥西区
mca	199912	130105	新华区
mca	199912	130106	郊区
mca	199912	130107	井陉矿区
mca	199912	130121	井陉县
mca	199912	130123	正定县
mca	199912	130124	栾城县
mca	199912	130125	行唐县
mca	199912	130126	灵寿县
mca	199912	130127	高邑县
mca	199912	130128	深泽县
mca	199912	130129	赞皇县
mca	199912	130130	无极县
mca	199912	130131	平山县
mca	199912	130132	元氏县
mca	199912	130133	赵县
mca	199912	130181	辛集市
mca	199912	130182	藁城市
mca	199912	130183	晋州市
mca	199912	130184	新乐市
mca	199912	130185	鹿泉市
mca	199912	130200	唐山市
mca	199912	130202	路南区
mca	199912	130203	路北区
mca	199912	130204	古冶区
mca	199912	130205	开平区
mca	199912	130206	新区
mca	199912	130221	丰润县
mca	199912	130223	滦县
mca	199912	130224	滦南县
mca	199912	130225	乐亭县
mca	199912	130227	迁西县
mca	199912	130229	玉田县
mca	199912	130230	唐海县
mca	199912	130281	遵化市
mca	199912	130282	丰南市
mca	199912	130283	迁安市
mca	199912	130300	秦皇岛市
mca	199912	130302	海港区
mca	199912	130303	山海关区
mca	199912	130304	北戴河区
mca	199912	130321	青龙满族自治县
mca	199912	130322	昌黎县
mca	199912	130323	抚宁县
mca	199912	130324	卢龙县
mca	199912	130400	邯郸市
mca	199912	130402	邯山区
mca	199912	130403	丛台区
mca	199912	130404	复兴区
mca	199912	130406	峰峰矿区
mca	199912	130421	邯郸县
mca	199912	130423	临漳县
mca	199912	130424	成安县
mca	199912	130425	大名县
mca	199912	130426	涉县
mca	199912	130427	磁县
mca	199912	130428	肥乡县
mca	199912	130429	永年县
mca	199912	130430	邱县
mca	199912	130431	鸡泽县
mca	199912	130432	广平县
mca	199912	130433	馆陶县
mca	199912	130434	魏县
mca	199912	130435	曲周县
mca	199912	130481	武安市
mca	199912	130500	邢台市
mca	199912	130502	桥东区
mca	199912	130503	桥西区
mca	199912	130521	邢台县
mca	199912	130522	临城县
mca	199912	130523	内丘县
mca	199912	130524	柏乡县
mca	199912	130525	隆尧县
mca	199912	130526	任县
mca	199912	130527	南和县
mca	199912	130528	宁晋县
mca	199912	130529	巨鹿县
mca	199912	130530	新河县
mca	199912	130531	广宗县
mca	199912	130532	平乡县
mca	199912	130533	威县
mca	199912	130534	清河县
mca	199912	130535	临西县
mca	199912	130581	南宫市
mca	199912	130582	沙河市
mca	199912	130600	保定市
mca	199912	130602	新市区
mca	199912	130603	北市区
mca	199912	130604	南市区
mca	199912	130621	满城县
mca	199912	130622	清苑县
mca	199912	130623	涞水县
mca	199912	130624	阜平县
mca	199912	130625	徐水县
mca	199912	130626	定兴县
mca	199912	130627	唐县
mca	199912	130628	高阳县
mca	199912	130629	容城县
mca	199912	130630	涞源县
mca	199912	130631	望都县
